Date,Open,High,Low,Close
3/1/2022,4462.4,4637.3,4424.3,4530.41
4/1/2022,4540.32,4593.45,4124.28,4131.93
5/1/2022,4130.61,4307.66,3810.32,4132.15
6/1/2022,4149.78,4177.51,3636.87,3785.38
7/1/2022,3781.08,4140.15,3721.56,4130.29
8/1/2022,4112.38,4325.28,3954.53,3955
9/1/2022,3936.73,4119.28,3584.13,3585.62
10/1/2022,3609.78,3905.42,3491.58,3871.98
11/1/2022,3901.79,4080.11,3698.15,4080.11
12/1/2022,4087.14,4100.96,3764.49,3839.5
1/1/2023,3853.29,4094.21,3794.33,4076.6
2/1/2023,4070.07,4195.44,3943.08,3970.15
3/1/2023,3963.34,4110.75,3808.86,4109.31
4/1/2023,4102.2,4170.06,4049.35,4169.48
5/1/2023,4166.79,4231.1,4048.28,4179.83
6/1/2023,4183.03,4458.48,4171.64,4450.38
7/1/2023,4449.45,4607.07,4385.05,4588.96
8/1/2023,4578.83,4584.62,4335.31,4507.66
9/1/2023,4530.85,4541.25,4238.63,4288.05
10/1/2023,4284.52,4393.57,4103.78,4193.8
11/1/2023,4201.27,4587.64,4197.74,4567.8
12/1/2023,4559.43,4793.3,4546.5,4769.83
1/1/2024,4745.2,4931.09,4682.11,4845.65
2/1/2024,4861.11,5111.06,4853.52,5096.27
3/1/2024,5098.51,5264.85,5171.55,5254.35
4/1/2024,5257.97,5263.95,4953.56,5035.69
5/1/2024,5029.03,5341.88,5011.05,5277.51
6/1/2024,5297.15,5523.64,5234.32,5460.48
7/1/2024,5471.08,5669.67,5390.95,5522.3
8/1/2024,5537.84,5651.62,5119.26,5648.4
9/1/2024,5623.89,5767.37,5402.62,5762.48
10/1/2024,5757.73,5878.46,5674,5705.45
11/1/2024,5723.22,6044.17,5696.51,6032.38
12/1/2024,6040.11,6099.97,5832.3,5881.63
1/1/2025,5903.26,6128.18,5773.31,6040.53
2/1/2025,5969.65,6147.43,5837.66,5954.5
3/1/2025,5968.33,5986.09,5504.65,5662.89
