Date,Open,High,Low,Close ,Volume
17-Mar-25,5635.6,5703.52,5631.12,5675.12,5031770000
14-Mar-25,5563.85,5645.27,5563.85,5638.94,4863180000
13-Mar-25,5594.45,5597.78,5504.65,5521.52,5018980000
12-Mar-25,5624.84,5642.19,5546.09,5599.3,5219830000
11-Mar-25,5603.65,5636.3,5528.41,5572.07,6221240000
10-Mar-25,5705.37,5705.37,5564.02,5614.56,6409370000
7-Mar-25,5726.01,5783.01,5666.29,5770.2,5705140000
6-Mar-25,5785.87,5812.08,5711.64,5738.52,5165080000
5-Mar-25,5781.36,5860.59,5742.35,5842.63,5285970000
4-Mar-25,5811.98,5865.08,5732.59,5778.15,6138110000
3-Mar-25,5968.33,5986.09,5810.91,5849.72,5613850000
28-Feb-25,5856.74,5959.4,5837.66,5954.5,6441140000
27-Feb-25,5981.88,5993.69,5858.78,5861.57,5057680000
26-Feb-25,5970.87,6009.82,5932.69,5956.06,4869580000
25-Feb-25,5982.73,5992.65,5908.49,5955.25,5374690000
24-Feb-25,6026.69,6043.65,5977.83,5983.25,4990120000
21-Feb-25,6114.1,6114.82,6008.56,6013.13,5434560000
20-Feb-25,6134.5,6134.5,6084.59,6117.52,4813690000
19-Feb-25,6117.76,6147.43,6111.15,6144.15,4562330000
18-Feb-25,6121.6,6129.63,6099.51,6129.58,4684980000
14-Feb-25,6115.52,6127.47,6107.62,6114.63,4335190000
13-Feb-25,6060.59,6116.91,6050.95,6115.07,4763800000
12-Feb-25,6025.08,6063,6003,6051.97,4627960000
11-Feb-25,6049.32,6076.28,6042.34,6068.5,4324880000
10-Feb-25,6046.4,6073.38,6044.84,6066.44,4458760000
7-Feb-25,6083.13,6101.28,6019.96,6025.99,4766900000
6-Feb-25,6072.22,6084.03,6046.83,6083.57,4847120000
5-Feb-25,6020.45,6062.86,6007.06,6061.48,4756250000
4-Feb-25,5998.14,6042.48,5990.87,6037.88,4410160000
3-Feb-25,5969.65,6022.13,5923.93,5994.57,4797210000
31-Jan-25,6096.79,6120.91,6030.93,6040.53,4843770000
30-Jan-25,6050.75,6086.64,6027.46,6071.17,4634620000
29-Jan-25,6057.7,6062.83,6012.96,6039.31,4115310000
28-Jan-25,6026.97,6074.54,5994.63,6067.7,4473640000
27-Jan-25,5969.04,6017.17,5962.92,6012.28,5198750000
24-Jan-25,6121.43,6128.18,6088.74,6101.24,4214250000
23-Jan-25,6076.32,6118.73,6074.67,6118.71,4432250000
22-Jan-25,6081.39,6100.81,6076.13,6086.37,4323040000
21-Jan-25,6014.12,6051.51,6006.88,6049.24,4702920000
17-Jan-25,5995.4,6014.96,5978.44,5996.66,4366830000
16-Jan-25,5963.61,5964.69,5930.72,5937.34,4285810000
15-Jan-25,5905.21,5960.61,5905.21,5949.91,4544570000
14-Jan-25,5859.27,5871.92,5805.42,5842.91,4142280000
13-Jan-25,5782.02,5838.61,5773.31,5836.22,4421200000
10-Jan-25,5890.35,5890.35,5807.78,5827.04,4751930000
8-Jan-25,5910.66,5927.89,5874.78,5918.25,4441740000
7-Jan-25,5993.26,6000.68,5890.68,5909.03,4517330000
6-Jan-25,5982.81,6021.04,5960.01,5975.38,4940120000
3-Jan-25,5891.07,5949.34,5888.66,5942.47,3667340000
2-Jan-25,5903.26,5935.09,5829.53,5868.55,3621680000
31-Dec-24,5919.74,5929.74,5868.86,5881.63,3128350000
30-Dec-24,5920.67,5940.79,5869.16,5906.94,3433250000
27-Dec-24,6006.17,6006.17,5932.95,5970.84,3159610000
26-Dec-24,6024.97,6049.75,6007.37,6037.59,2904530000
24-Dec-24,5984.63,6040.1,5981.44,6040.04,1757720000
23-Dec-24,5940.25,5978.25,5902.57,5974.07,3593280000
20-Dec-24,5842,5982.06,5832.3,5930.85,8223220000
19-Dec-24,5912.71,5935.52,5866.07,5867.08,4896880000
18-Dec-24,6047.65,6070.67,5867.79,5872.16,5246960000
17-Dec-24,6052.55,6057.68,6035.19,6050.61,4544500000
16-Dec-24,6063.79,6085.19,6059.14,6074.08,4391100000
13-Dec-24,6068.17,6078.58,6035.77,6051.09,3584960000
12-Dec-24,6074.29,6079.68,6051.25,6051.25,3678010000
11-Dec-24,6060.15,6092.59,6060.15,6084.19,4269950000
10-Dec-24,6057.59,6065.4,6029.89,6034.91,4048410000
9-Dec-24,6083.01,6088.51,6048.63,6052.85,4556460000
6-Dec-24,6081.38,6099.97,6079.98,6090.27,3924830000
5-Dec-24,6089.03,6094.55,6072.9,6075.11,4212020000
4-Dec-24,6069.39,6089.84,6061.06,6086.49,4003390000
3-Dec-24,6042.97,6052.07,6033.39,6049.88,4095000000
2-Dec-24,6040.11,6053.58,6035.33,6047.15,4412470000
29-Nov-24,6003.98,6044.17,6003.98,6032.38,2444420000
27-Nov-24,6014.11,6020.16,5984.87,5998.74,3363340000
26-Nov-24,6000.03,6025.42,5992.27,6021.63,3835170000
25-Nov-24,5992.28,6020.75,5963.91,5987.37,5633150000
22-Nov-24,5944.36,5972.9,5944.36,5969.34,4141420000
21-Nov-24,5940.58,5963.32,5887.26,5948.71,4230120000
20-Nov-24,5914.34,5920.67,5860.56,5917.11,3772620000
19-Nov-24,5870.05,5923.51,5855.29,5916.98,4036940000
18-Nov-24,5874.17,5908.12,5865.95,5893.62,3983860000
15-Nov-24,5912.79,5915.32,5853.01,5870.62,4590960000
14-Nov-24,5989.68,5993.88,5942.28,5949.17,4184570000
13-Nov-24,5985.75,6008.19,5965.91,5985.38,4220180000
12-Nov-24,6003.6,6009.92,5960.08,5983.99,4243400000
11-Nov-24,6008.86,6017.31,5986.69,6001.35,4333000000
8-Nov-24,5976.76,6012.45,5976.76,5995.54,4666740000
7-Nov-24,5947.21,5983.84,5947.21,5973.1,4925740000
6-Nov-24,5864.89,5936.14,5864.89,5929.04,6329530000
5-Nov-24,5722.43,5783.44,5722.1,5782.76,3768310000
4-Nov-24,5725.15,5741.43,5696.51,5712.69,3602060000
1-Nov-24,5723.22,5772.52,5723.22,5728.8,3796450000
31-Oct-24,5775.34,5775.34,5702.86,5705.45,4425660000
30-Oct-24,5832.65,5850.94,5811.28,5813.67,3851120000
29-Oct-24,5819.68,5847.19,5802.17,5832.92,3879100000
28-Oct-24,5833.93,5842.92,5823.08,5823.52,3691280000
25-Oct-24,5826.75,5862.82,5799.98,5808.12,3501280000
24-Oct-24,5817.8,5817.8,5784.92,5809.86,3543030000
23-Oct-24,5834.5,5834.85,5762.41,5797.42,3532650000
22-Oct-24,5832.7,5863.04,5821.17,5851.2,3342080000
21-Oct-24,5857.82,5866.92,5824.79,5853.98,3407010000
18-Oct-24,5859.43,5872.17,5846.11,5864.67,3374490000
17-Oct-24,5875.62,5878.46,5840.25,5841.47,3480010000
16-Oct-24,5816.58,5846.52,5808.34,5842.47,3467230000
15-Oct-24,5866.74,5870.36,5804.48,5815.26,3882120000
14-Oct-24,5829.81,5871.41,5829.57,5859.85,3005250000
11-Oct-24,5775.09,5822.13,5775.09,5815.03,3208720000
