Date,Open,High,Low,Close 
17-Mar-25,22.89,22.95,20.32,20.51
14-Mar-25,24.35,24.36,21.48,21.77
13-Mar-25,24.92,26.13,23.46,24.66
12-Mar-25,26.88,26.91,23.89,24.23
11-Mar-25,27.94,29.57,26.18,26.92
10-Mar-25,24.7,29.56,24.68,27.86
7-Mar-25,24.85,26.56,23.09,23.37
6-Mar-25,22.6,25.92,22.39,24.87
5-Mar-25,23.03,24.84,21.37,21.93
4-Mar-25,22.96,26.35,21.71,23.51
3-Mar-25,19.83,24.31,19.25,22.78
28-Feb-25,21.21,22.4,19.05,19.63
27-Feb-25,18.25,21.47,17.67,21.13
26-Feb-25,18.96,20.06,17.83,19.1
25-Feb-25,19.09,21.48,18.85,19.43
24-Feb-25,18.08,20.24,17.31,18.98
21-Feb-25,15.63,19.03,15.28,18.21
20-Feb-25,15.61,16.63,15.12,15.66
19-Feb-25,15.14,15.96,15.05,15.27
18-Feb-25,15.57,16.03,15.35,15.35
14-Feb-25,15.08,15.42,14.74,14.77
13-Feb-25,15.97,16.33,14.98,15.1
12-Feb-25,15.91,17.18,15.64,15.89
11-Feb-25,16.13,16.42,15.75,16.02
10-Feb-25,16.58,16.61,15.7,15.81
7-Feb-25,15.38,16.66,14.79,16.54
6-Feb-25,15.88,16.15,14.99,15.5
5-Feb-25,17.54,17.75,15.77,15.77
4-Feb-25,18.78,19.11,16.78,17.21
3-Feb-25,20.36,20.42,17.66,18.62
31-Jan-25,15.45,17.09,14.9,16.43
30-Jan-25,15.93,16.42,15.32,15.84
29-Jan-25,16.42,18.08,16.17,16.56
28-Jan-25,18.29,18.39,16.25,16.41
27-Jan-25,18.83,22.51,17.57,17.9
24-Jan-25,15.02,15.16,14.58,14.85
23-Jan-25,15.28,15.39,14.59,15.02
22-Jan-25,14.89,15.29,14.59,15.1
21-Jan-25,16.29,16.29,14.93,15.06
17-Jan-25,16.19,16.23,15.53,15.97
16-Jan-25,15.87,16.6,15.64,16.6
15-Jan-25,19.08,19.14,15.96,16.12
14-Jan-25,18.79,19.66,18.24,18.71
13-Jan-25,21.18,22.04,19.15,19.19
10-Jan-25,18.29,20.31,18.05,19.54
8-Jan-25,17.91,19.5,17.37,17.7
7-Jan-25,16.48,18.9,15.79,17.82
6-Jan-25,16.77,16.87,15.71,16.04
3-Jan-25,17.66,17.94,16.11,16.13
2-Jan-25,17.21,19.5,16.96,17.93
31-Dec-24,17.39,17.81,16.68,17.35
30-Dec-24,17.21,19.22,16.44,17.4
27-Dec-24,15.38,18.45,15.29,15.95
26-Dec-24,14.99,15.93,14.55,14.73
24-Dec-24,16.97,17.04,14.27,14.27
23-Dec-24,18.09,20.02,16.74,16.78
20-Dec-24,24.14,26.51,17.82,18.36
19-Dec-24,21.61,24.12,20.16,24.09
18-Dec-24,15.57,28.32,14.82,27.62
17-Dec-24,14.98,15.94,14.78,15.87
16-Dec-24,14.37,14.69,13.99,14.69
13-Dec-24,13.57,14.25,13.24,13.81
12-Dec-24,13.73,13.95,13.39,13.92
11-Dec-24,14.42,14.43,13.52,13.58
10-Dec-24,14.3,14.54,13.86,14.18
9-Dec-24,13.36,14.23,13.35,14.19
6-Dec-24,13.62,13.74,12.7,12.77
5-Dec-24,13.46,13.7,13.26,13.54
4-Dec-24,13.16,13.61,12.89,13.45
3-Dec-24,13.38,13.77,13.19,13.3
2-Dec-24,14.08,14.1,13.3,13.34
29-Nov-24,14,14.15,13.49,13.51
27-Nov-24,14.28,15.13,13.96,14.1
26-Nov-24,14.95,15.03,13.88,14.1
25-Nov-24,15.23,15.72,14.54,14.6
22-Nov-24,16.67,17.56,15.24,15.24
21-Nov-24,17.1,17.99,15.73,16.87
20-Nov-24,16.19,18.79,16.04,17.16
19-Nov-24,15.44,17.93,15.37,16.35
18-Nov-24,16.6,17,15.35,15.58
15-Nov-24,15.02,17.55,14.56,16.14
14-Nov-24,14.17,14.32,13.59,14.31
13-Nov-24,15.09,15.26,13.77,14.02
12-Nov-24,15.09,15.37,14.69,14.71
